id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,writing_score,reading_score
30,Azad,Sethi,azad.sethi279@yahoo.com,Male,No,17,Yes,2.8,Doctor,49,88,19,90,27,8,53,Group E,Associate degree,Free/reduced,,52,42
536,Shalv,Goda,shalv.goda430@gmail.com,Male,No,13,No,0.5,Entrepreneur,31,9,34,15,68,14,87,Group A,Some college,Standard,Completed,70,52
696,Khushi,Mann,khushi.mann120@gmail.com,Male,Yes,2,Yes,6.4,Teacher,2,98,21,100,1,27,81,Group A,Masterâ€™s degree,Standard,Completed,47,58
558,Riaan,Sarkar,riaan.sarkar304@outlook.com,Male,No,17,Yes,3.4,Engineer,68,30,37,5,81,18,35,Group A,Masterâ€™s degree,Standard,,17,34
837,Anahi,Sarma,anahi.sarma524@yahoo.com,Female,Yes,6,No,6.7,Scientist,33,50,15,83,36,57,3,Group E,Associate degree,Standard,,57,77
597,Riaan,Babu,riaan.babu958@gmail.com,Male,Yes,20,Yes,2.2,Entrepreneur,15,13,18,36,33,23,11,Group C,High school,Free/reduced,,9,63
166,Kartik,Chandran,kartik.chandran73@gmail.com,Female,No,2,Yes,2.1,Scientist,38,17,48,99,96,17,82,Group A,Bachelorâ€™s degree,Standard,,86,18
919,Kimaya,Lanka,kimaya.lanka350@gmail.com,Male,No,4,Yes,14.5,Civil Servant,15,47,41,52,48,84,66,Group D,Masterâ€™s degree,Standard,,87,35
496,Elakshi,Sachdev,elakshi.sachdev335@outlook.com,Male,No,15,No,1.4,Entrepreneur,84,31,91,56,17,60,35,Group A,Bachelorâ€™s degree,Standard,,20,21
825,Amani,Gour,amani.gour614@gmail.com,Male,No,10,No,16.1,Civil Servant,16,47,72,60,8,2,57,Group B,High school,Free/reduced,,47,53
66,Saanvi,Dugar,saanvi.dugar272@gmail.com,Male,Yes,13,Yes,14.9,Artist,57,99,46,65,75,13,57,Group E,Some high school,Free/reduced,Completed,64,28
142,Manikya,Bandi,manikya.bandi325@yahoo.com,Female,Yes,2,Yes,18.9,Artist,46,97,34,13,16,11,23,Group E,Bachelorâ€™s degree,Free/reduced,,55,57
926,Tiya,Majumdar,tiya.majumdar707@gmail.com,Male,Yes,18,Yes,4.6,Civil Servant,5,26,59,52,68,94,9,Group E,Associate degree,Standard,,13,87
828,Keya,Halder,keya.halder729@gmail.com,Female,No,1,No,4.9,Teacher,0,41,45,79,61,71,18,Group C,Associate degree,Free/reduced,,100,34
656,Aarav,Saha,aarav.saha919@outlook.com,Female,No,15,No,12.4,Doctor,47,5,37,19,75,3,13,Group C,Bachelorâ€™s degree,Free/reduced,,77,27
332,Yuvaan,Sarin,yuvaan.sarin100@yahoo.com,Female,No,20,No,9.4,Doctor,18,78,33,46,50,23,89,Group C,Associate degree,Free/reduced,,85,42
665,Ira,Bhatti,ira.bhatti292@gmail.com,Female,Yes,9,No,9.7,Doctor,21,36,33,77,96,13,29,Group B,Some high school,Standard,,85,35
250,Baiju,Batra,baiju.batra776@outlook.com,Male,Yes,14,Yes,3.6,Entrepreneur,84,18,94,93,61,45,5,Group D,High school,Standard,Completed,28,97
908,Yakshit,Kala,yakshit.kala65@gmail.com,Male,Yes,10,Yes,10.4,Teacher,68,24,61,96,80,44,3,Group D,Some high school,Free/reduced,,43,49
709,Shanaya,Khalsa,shanaya.khalsa589@outlook.com,Male,No,14,Yes,9.7,Teacher,51,54,98,6,38,54,33,Group A,Bachelorâ€™s degree,Free/reduced,Completed,94,81
306,Aniruddh,Bhardwaj,aniruddh.bhardwaj945@outlook.com,Male,No,10,No,7.9,Doctor,2,44,87,45,45,80,38,Group C,Some high school,Free/reduced,Completed,30,64
735,Miraya,Banerjee,miraya.banerjee120@yahoo.com,Female,Yes,15,Yes,2.0,Entrepreneur,27,76,62,38,72,1,74,Group D,Masterâ€™s degree,Standard,Completed,55,14
976,Hridaan,Mandal,hridaan.mandal465@yahoo.com,Male,Yes,12,No,4.7,Artist,66,99,18,1,46,97,0,Group B,Some high school,Standard,,48,69
50,Pihu,Sabharwal,pihu.sabharwal565@gmail.com,Female,No,2,Yes,19.8,Engineer,59,15,82,19,63,91,37,Group C,Associate degree,Free/reduced,Completed,65,90
897,Anika,Kapur,anika.kapur721@gmail.com,Male,Yes,2,Yes,11.8,Engineer,18,13,57,16,19,92,9,Group C,Masterâ€™s degree,Free/reduced,,36,98
3,Raghav,Das,raghav.das550@gmail.com,Female,No,2,No,16.6,Entrepreneur,46,73,24,90,8,5,84,Group C,Some high school,Standard,,29,98
545,Kartik,Chokshi,kartik.chokshi6@yahoo.com,Male,Yes,12,No,0.2,Artist,62,25,10,67,65,19,52,Group A,High school,Free/reduced,,15,62
351,Jayan,Sahni,jayan.sahni796@gmail.com,Female,No,12,No,19.9,Scientist,33,22,56,8,62,25,78,Group D,Some high school,Standard,Completed,50,22
905,Romil,Karnik,romil.karnik15@outlook.com,Male,No,2,No,12.9,Artist,2,12,16,95,93,33,21,Group C,Associate degree,Standard,Completed,84,37
537,Rati,Karan,rati.karan797@yahoo.com,Female,Yes,7,No,0.2,Artist,28,48,13,100,15,22,67,Group E,Associate degree,Standard,Completed,93,39
345,Neysa,Dyal,neysa.dyal497@gmail.com,Male,Yes,10,Yes,19.3,Entrepreneur,19,63,96,52,98,49,30,Group B,High school,Free/reduced,,84,56
995,Aradhya,Raman,aradhya.raman71@gmail.com,Female,Yes,10,No,9.6,Entrepreneur,26,81,81,54,71,94,23,Group C,Some college,Free/reduced,Completed,87,12
482,Yashvi,Mandal,yashvi.mandal486@yahoo.com,Female,No,20,Yes,4.1,Doctor,57,30,50,27,39,54,48,Group C,Some college,Standard,,73,20
576,Ivana,Singhal,ivana.singhal555@gmail.com,Male,Yes,6,Yes,15.1,Scientist,24,70,25,81,4,30,34,Group E,Some high school,Free/reduced,,10,72
